PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
CAPACITOR_LST	C7M	CAP1005L	2	Top	90	10840	11910	Yes	No
CAPACITOR_LST	C7N	CAP1005L	2	Top	90	10840	10910	Yes	No
CAPACITOR_LST	C7O	CAP1005L	2	Top	90	10840	9910	Yes	No
CAPACITOR_LST	C7P	CAP1005L	2	Top	90	10840	8910	Yes	No
CAPACITOR_LST	C7Q	CAP1005L	2	Top	90	10840	7910	Yes	No
CAPACITOR_LST	C7R	CAP1005L	2	Top	90	10840	6910	Yes	No
CAPACITOR_LST	C7S	CAP1005L	2	Top	90	10840	5910	Yes	No
CAPACITOR_LST	C7T	CAP1005L	2	Top	90	10840	4910	Yes	No
CAPACITOR_LST	C7U	CAP1005L	2	Top	90	10840	3910	Yes	No
CAPACITOR_LST	C7V	CAP1005L	2	Top	90	10840	2910	Yes	No
CAPACITOR_LST	C7W	CAP1005L	2	Top	90	10840	1910	Yes	No
CAPACITOR_LST	C7X	CAP1005L	2	Top	90	10840	910	Yes	No
CAPACITOR_LST	C8	CAP1005L	2	Top	180	1035	130	Yes	No
CAPACITOR_LST	C8A	CAP1005L	2	Top	270	1310	340	Yes	No
CAPACITOR_LST	C8B	CAP1005L	2	Top	270	1310	1340	Yes	No
CAPACITOR_LST	C8C	CAP1005L	2	Top	270	1310	2340	Yes	No
CAPACITOR_LST	C8D	CAP1005L	2	Top	270	1310	3340	Yes	No
CAPACITOR_LST	C8E	CAP1005L	2	Top	270	1310	4340	Yes	No
CAPACITOR_LST	C8F	CAP1005L	2	Top	270	1310	5340	Yes	No
CAPACITOR_LST	C8G	CAP1005L	2	Top	270	1310	6340	Yes	No
CAPACITOR_LST	C8H	CAP1005L	2	Top	270	1310	7340	Yes	No
CAPACITOR_LST	C8I	CAP1005L	2	Top	270	1310	8340	Yes	No
CAPACITOR_LST	C8J	CAP1005L	2	Top	270	1310	9340	Yes	No
CAPACITOR_LST	C8K	CAP1005L	2	Top	270	1310	10340	Yes	No
CAPACITOR_LST	C8L	CAP1005L	2	Top	270	1310	11340	Yes	No
CAPACITOR_LST	C8M	CAP1005L	2	Top	90	10690	11910	Yes	No
CAPACITOR_LST	C8N	CAP1005L	2	Top	90	10690	10910	Yes	No
CAPACITOR_LST	C8O	CAP1005L	2	Top	90	10690	9910	Yes	No
CAPACITOR_LST	C8P	CAP1005L	2	Top	90	10690	8910	Yes	No
CAPACITOR_LST	C8Q	CAP1005L	2	Top	90	10690	7910	Yes	No
CAPACITOR_LST	C8R	CAP1005L	2	Top	90	10690	6910	Yes	No
CAPACITOR_LST	C8S	CAP1005L	2	Top	90	10690	5910	Yes	No
CAPACITOR_LST	C8T	CAP1005L	2	Top	90	10690	4910	Yes	No
CAPACITOR_LST	C8U	CAP1005L	2	Top	90	10690	3910	Yes	No
CAPACITOR_LST	C8V	CAP1005L	2	Top	90	10690	2910	Yes	No
CAPACITOR_LST	C8W	CAP1005L	2	Top	90	10690	1910	Yes	No
CAPACITOR_LST	C8X	CAP1005L	2	Top	90	10690	910	Yes	No
CAPACITOR_LST	C9	CAP1005L	2	Top	135	2210	921	Yes	No
CAPACITOR_LST	C9A	CAP1005L	2	Bottom	270	1400.98	275.987	Yes	No
CAPACITOR_LST	C9B	CAP1005L	2	Bottom	270	1400.98	1275.987	Yes	No
CAPACITOR_LST	C9C	CAP1005L	2	Bottom	270	1400.98	2275.987	Yes	No
CAPACITOR_LST	C9D	CAP1005L	2	Bottom	270	1400.98	3275.987	Yes	No
CAPACITOR_LST	C9E	CAP1005L	2	Bottom	270	1400.98	4275.987	Yes	No
CAPACITOR_LST	C9F	CAP1005L	2	Bottom	270	1400.98	5275.987	Yes	No
CAPACITOR_LST	C9G	CAP1005L	2	Bottom	270	1400.98	6275.987	Yes	No
CAPACITOR_LST	C9H	CAP1005L	2	Bottom	270	1400.98	7275.987	Yes	No
CAPACITOR_LST	C9I	CAP1005L	2	Bottom	270	1400.98	8275.987	Yes	No
CAPACITOR_LST	C9J	CAP1005L	2	Bottom	270	1400.98	9275.987	Yes	No
CAPACITOR_LST	C9K	CAP1005L	2	Bottom	270	1400.98	10275.987	Yes	No
CAPACITOR_LST	C9L	CAP1005L	2	Bottom	270	1400.98	11275.987	Yes	No
CAPACITOR_LST	C9M	CAP1005L	2	Bottom	90	10599.02	11974.013	Yes	No
CAPACITOR_LST	C9N	CAP1005L	2	Bottom	90	10599.02	10974.013	Yes	No
CAPACITOR_LST	C9O	CAP1005L	2	Bottom	90	10599.02	9974.013	Yes	No
CAPACITOR_LST	C9P	CAP1005L	2	Bottom	90	10599.02	8974.013	Yes	No
CAPACITOR_LST	C9Q	CAP1005L	2	Bottom	90	10599.02	7974.013	Yes	No
CAPACITOR_LST	C9R	CAP1005L	2	Bottom	90	10599.02	6974.013	Yes	No
CAPACITOR_LST	C9S	CAP1005L	2	Bottom	90	10599.02	5974.013	Yes	No
CAPACITOR_LST	C9T	CAP1005L	2	Bottom	90	10599.02	4974.013	Yes	No
CAPACITOR_LST	C9U	CAP1005L	2	Bottom	90	10599.02	3974.013	Yes	No
CAPACITOR_LST	C9V	CAP1005L	2	Bottom	90	10599.02	2974.013	Yes	No
CAPACITOR_LST	C9W	CAP1005L	2	Bottom	90	10599.02	1974.013	Yes	No
CAPACITOR_LST	C9X	CAP1005L	2	Bottom	90	10599.02	974.013	Yes	No
CAPACITOR_LST	C10	CAP1005L	2	Top	270	1835.91	1612.6	Yes	No
CAPACITOR_LST	C10A	CAP1005L	2	Bottom	90	1495.98	380.987	Yes	No
CAPACITOR_LST	C10B	CAP1005L	2	Bottom	90	1495.98	1380.987	Yes	No
CAPACITOR_LST	C10C	CAP1005L	2	Bottom	90	1495.98	2380.987	Yes	No
CAPACITOR_LST	C10D	CAP1005L	2	Bottom	90	1495.98	3380.987	Yes	No
CAPACITOR_LST	C10E	CAP1005L	2	Bottom	90	1495.98	4380.987	Yes	No
CAPACITOR_LST	C10F	CAP1005L	2	Bottom	90	1495.98	5380.987	Yes	No
CAPACITOR_LST	C10G	CAP1005L	2	Bottom	90	1495.98	6380.987	Yes	No
CAPACITOR_LST	C10H	CAP1005L	2	Bottom	90	1495.98	7380.987	Yes	No
